Time,kVARh,kWh,Power_Factor
487,42.72,133.139997,0.951092333333333
488,155.519998,259.259993,0.859944166666667
489,168.059998,304.139995,0.874746416666667
490,167.639997,318.839995,0.885065
491,167.879998,344.24999,0.898583916666667
492,165.149995,332.279992,0.895418083333333
493,167.969997,335.519991,0.894166583333333
494,169.049995,330.389993,0.890212833333333
495,169.439997,315.269994,0.8808365
496,171.359995,308.279992,0.874022333333333
497,166.769997,294.029993,0.869759
498,165.719995,278.309991,0.8588995
499,168.479996,263.849994,0.842737166666667
500,168.929994,246.509994,0.82485575
501,94.8,188.819994,0.895199416666667
502,48.96,128.79,0.935403916666667
503,47.22,114.389998,0.924298416666667
504,50.85,127.769998,0.928880384615385
505,43.47,97.92,0.913981363636364
506,47.52,107.069997,0.91402175
507,47.46,111.269999,0.919353166666667
508,46.5,113.789997,0.925391583333333
509,47.28,107.009996,0.91470125
510,45.48,106.949999,0.9202265
511,42.45,120.839999,0.943001333333333
512,154.919995,209.609997,0.80819825
513,167.999996,223.379993,0.799200166666667
514,164.429997,238.619994,0.82298625
515,165.869993,248.549994,0.83173725
516,164.309996,247.079997,0.832681833333333
517,164.939996,260.579994,0.844788833333333
518,165.119995,260.519995,0.844487916666667
519,171.059996,258.809996,0.834243916666667
520,170.969999,264.299993,0.839251
521,170.099997,272.279995,0.84803375
522,169.529993,267.149992,0.8443185
523,177.599997,269.219991,0.834716416666667
524,177.959996,264.959994,0.830120166666667
525,175.349998,261.929994,0.831002916666667
526,168.029995,251.729994,0.831729166666667
527,55.859999,134.819994,0.9283665
528,50.79,116.76,0.916937153846154
529,43.53,102.6,0.919783636363636
530,47.82,113.399997,0.920889666666667
531,46.68,105.72,0.914791
532,45.72,111.929997,0.924772416666667
533,46.17,112.229998,0.92411675
534,43.23,105.269997,0.924973833333333
535,45.15,137.849997,0.949414333333333
536,158.729998,251.039994,0.847390833333333
537,171.389996,296.789997,0.865420416666667
538,171.329995,320.969993,0.882008666666667
539,170.549998,331.019992,0.888837833333333
540,166.289998,323.219997,0.8891955
541,165.839993,338.12999,0.8976355
542,166.289996,322.859989,0.88867475
543,172.979998,312.659993,0.875008583333333
544,172.649996,310.499992,0.873943333333333
545,164.849997,303.869993,0.878915416666667
546,164.249996,284.099994,0.865706583333333
547,168.989996,275.849992,0.852700166666667
548,168.119995,272.669993,0.85112925
549,95.729999,193.229995,0.897540416666667
550,56.85,148.349996,0.93443025
551,79.11,158.339998,0.894456166666667
552,86.49,153.059999,0.870455230769231
553,72.06,127.079997,0.869873
554,79.74,147.569999,0.879329333333333
555,80.34,142.169994,0.870221333333333
556,78.93,138.149999,0.868265833333333
557,79.53,147.449997,0.87972225
558,75.87,141.959999,0.881732583333333
559,74.04,160.709997,0.907796583333333
560,160.559995,257.759993,0.84961675
561,170.999999,300.689992,0.869012
562,167.069999,312.239994,0.881694
563,167.159998,330.719992,0.892209833333333
564,167.159999,331.469991,0.892629666666667
565,168.479995,334.349991,0.892926083333333
566,168.689995,330.749992,0.8908085
567,171.719996,319.289995,0.880606333333333
568,173.639997,309.179994,0.8718635
569,172.019995,306.149996,0.87173425
570,173.819998,291.659994,0.85870275
571,179.939995,278.279994,0.8397
572,179.279998,280.559995,0.842587166666667
573,178.709997,277.739996,0.84073225
574,175.529997,258.149993,0.826889166666667
575,175.169996,237.509995,0.804705333333333
576,188.939996,248.279997,0.795460307692308
577,119.189996,166.859998,0.829822909090909
578,45.6,113.399997,0.927169583333333
579,45.42,118.199996,0.932719916666667
580,44.97,111.299999,0.927177583333333
581,46.17,113.759998,0.926366333333333
582,44.49,120.599997,0.938116583333333
583,41.49,109.889997,0.935523333333333
584,139.979999,191.999993,0.8108585
585,146.069995,222.029995,0.83527675
586,159.929997,237.929995,0.829902916666667
587,160.259995,245.489997,0.83735225
588,160.289994,261.569996,0.852542666666667
589,160.019995,253.649994,0.845707083333333
590,161.129995,259.439995,0.849471333333333
591,161.789998,269.939996,0.857592416666667
592,165.389995,256.559993,0.840384833333333
593,165.359997,250.169996,0.834217583333333
594,164.309998,247.559992,0.833037
595,165.929995,218.729996,0.796228
596,166.139996,208.469993,0.782027666666667
597,92.04,156.479995,0.863556833333333
